X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
15752915.18,4945478.384,port433,Hachinohe,Japan,JPN,Asia & Pacific,"Hachinohe, Japan",40.54513127,141.5108448,2384,201,544,915,38,685,Mineral Products,Vegetable Products,Metals,0.95,0.26,,4b7a99f104494117b7fbda83cf61b6e9,Japan,457
14515799.97,3979455.155,port439,Hakata,Japan,JPN,Asia & Pacific,"Hakata, Japan",33.63170193,130.3976497,4918,1620,232,930,941,1193,Mineral Products,Vegetable Products,Wood & Wood Products,0.76,1.78,,5336f6c6e45643589aaea0b04709fd86,Japan,458
15662456.96,5130892.346,port440,Hakodate,Japan,JPN,Asia & Pacific,"Hakodate, Japan",41.79882813,140.6982447,1884,20,845,415,3,600,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.13,0.46,,21aa2d73e4ec45f6a47e323dfa886c6c,Japan,459
3601622.077,3458310.135,port828,El Sokhna,Egypt,EGY,Africa,"El Sokhna, Egypt",29.64742882,32.35392159,502,220,93,39,3,145,Mineral Products,Chemical & Allied Industries,Vegetable Products,16.74,5.63,,8fb233a8b10b4452ae3d4694fe7fdbf4,Egypt,460
14699931.97,4147504.648,port445,Hamada,Japan,JPN,Asia & Pacific,"Hamada, Japan",34.87940375,132.0517356,280,27,145,101,0,6,Vegetable Products,Mineral Products,Wood & Wood Products,0.51,0.07,,6089b5b5df0e4044872bd601ce4adc77,Japan,461
11801576.55,-658568.9117,port1271,Tanjung Sekong,Indonesia,IDN,Asia & Pacific,"Tanjung Sekong, Indonesia",-5.905540925,106.0153659,780,2,218,172,0,387,Mineral Products,Chemical & Allied Industries,Metals,1.13,0.47,,9135f8ade20149c8bd66addceacc54e6,Indonesia,462
5528169.361,3130436.221,port24,Jubail,Saudi Arabia,SAU,Asia & Pacific,"Jubail, Saudi Arabia",27.05573014,49.6603903,2212,295,378,79,0,1458,Mineral Products,Chemical & Allied Industries,Vegetable Products,7.93,14.66,,2e70626f9f8d40ee83f3195c99c59dd3,Saudi Arabia,463
15066754.53,4090239.734,port452,Hannan,Japan,JPN,Asia & Pacific,"Hannan, Japan",34.45631451,135.3469588,301,0,36,154,0,111,Mineral Products,Vehicles & Equipment,Vegetable Products,0.1,0.04,,a2e495cd208847318945be7840870a04,Japan,464
13124251.13,-4168505.936,port28,Albany,Australia,AUS,Asia & Pacific,"Albany, Australia",-35.03402477,117.8971538,134,0,124,6,0,3,Vegetable Products,Mineral Products,Wood & Wood Products,0.15,0.23,AU ALH,451854e1f7144031a5aa7f728346c4c5,Australia,465
15007366.75,4127341.709,port463,Higashiharima,Japan,JPN,Asia & Pacific,"Higashiharima, Japan",34.73068083,134.8134693,3379,0,554,2017,73,733,Mineral Products,Metals,Chemical & Allied Industries,2.89,1.57,,517b1f33cea342b4afc3de9d1aee7024,Japan,466
1118542.894,8189026.473,port634,Larvik,Norway,NOR,Europe,"Larvik, Norway",59.03994928,10.04804178,322,171,1,141,0,8,Wood & Wood Products,Animal & Animal Products,Mineral Products,0.32,0.62,NO LAR,5fc0822b52394cba9e281c749ddb6df4,Norway,467
4160698.895,5672703.074,port1283,Temryuk,Russian Federation,RUS,Europe,"Temryuk, Russian Federation",45.32418556,37.3761941,951,1,13,475,0,461,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.27,0.53,,614468ef3a314249a676cba02c38c4f5,Russian Federation,468
13080159.79,241170.971,port1272,Tanjung Redeb,Indonesia,IDN,Asia & Pacific,"Tanjung Redeb, Indonesia",2.165959622,117.5010746,108,64,0,26,0,18,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,0.01,0,,831a863658e94a04ab6462843c8f2964,Indonesia,469
5587614.731,3058189.234,port275,Dammam,Saudi Arabia,SAU,Asia & Pacific,"Dammam, Saudi Arabia",26.47626701,50.19439715,1484,476,478,299,195,34,Mineral Products,Metals,Chemical & Allied Industries,21.08,1.08,,2691703b702a4cd19e86b482ae00238c,Saudi Arabia,470
